Year,Month,Day,Block,Row,Colum,Rep,Height_cm,Sex
2019,Jun,27,5,2,A,1,58,M
2019,Jun,27,5,2,A,2,45,V
2019,Jun,27,5,2,A,3,58,M
2019,Jun,27,5,2,A,4,32,V
2019,Jun,27,5,2,A,5,38,V
2019,Jun,27,5,2,A,6,44,V
2019,Jun,27,5,2,A,7,87,M
2019,Jun,27,5,2,A,8,41,V
2019,Jun,27,5,2,A,9,79,M
2019,Jun,27,5,2,A,10,48,F
2019,Jun,27,5,2,C,1,23,V
2019,Jun,27,5,2,C,2,17,V
2019,Jun,27,5,2,C,3,18,V
2019,Jun,27,5,2,C,4,30,V
2019,Jun,27,5,2,C,5,26,V
2019,Jun,27,5,2,C,6,12,V
2019,Jun,27,5,2,C,7,10,V
2019,Jun,27,5,2,C,8,23,V
2019,Jun,27,5,2,C,9,24,V
2019,Jun,27,5,2,C,10,,
2019,Jun,27,5,2,D,1,19,V
2019,Jun,27,5,2,D,2,24,V
2019,Jun,27,5,2,D,3,14,V
2019,Jun,27,5,2,D,4,20,V
2019,Jun,27,5,2,D,5,25,V
2019,Jun,27,5,2,D,6,23,V
2019,Jun,27,5,2,D,7,14,V
2019,Jun,27,5,2,D,8,16,V
2019,Jun,27,5,2,D,9,,
2019,Jun,27,5,2,D,10,,
2019,Jun,27,5,4,A,1,37,V
2019,Jun,27,5,4,A,2,23,V
2019,Jun,27,5,4,A,3,24,V
2019,Jun,27,5,4,A,4,39,V
2019,Jun,27,5,4,A,5,38,V
2019,Jun,27,5,4,A,6,33,V
2019,Jun,27,5,4,A,7,27,V
2019,Jun,27,5,4,A,8,21,V
2019,Jun,27,5,4,A,9,39,V
2019,Jun,27,5,4,A,10,36,V
2019,Jun,27,5,4,D,1,30,F
2019,Jun,27,5,4,D,2,33,F
2019,Jun,27,5,4,D,3,31,F
2019,Jun,27,5,4,D,4,35,F
2019,Jun,27,5,4,D,5,24,F
2019,Jun,27,5,4,D,6,34,M
2019,Jun,27,5,4,D,7,37,M
2019,Jun,27,5,4,D,8,40,M
2019,Jun,27,5,4,D,9,21,F
2019,Jun,27,5,4,D,10,19,V
2019,Jun,27,5,5,C,1,27,V
2019,Jun,27,5,5,C,2,19,V
2019,Jun,27,5,5,C,3,29,V
2019,Jun,27,5,5,C,4,28,V
2019,Jun,27,5,5,C,5,26,V
2019,Jun,27,5,5,C,6,31,V
2019,Jun,27,5,5,C,7,16,V
2019,Jun,27,5,5,C,8,23,V
2019,Jun,27,5,5,C,9,18,V
2019,Jun,27,5,5,C,10,15,V
2019,Jun,28,6,1,B,1,24,V
2019,Jun,28,6,1,B,2,18,V
2019,Jun,28,6,1,B,3,30,V
2019,Jun,28,6,1,B,4,27,V
2019,Jun,28,6,1,B,5,27,V
2019,Jun,28,6,1,B,6,34,V
2019,Jun,28,6,1,B,7,26,V
2019,Jun,28,6,1,B,8,28,V
2019,Jun,28,6,1,B,9,33,V
2019,Jun,28,6,1,B,10,24,V
2019,Jun,28,6,1,C,1,57,F
2019,Jun,28,6,1,C,2,60,F
2019,Jun,28,6,1,C,3,84,M
2019,Jun,28,6,1,C,4,82,F
2019,Jun,28,6,1,C,5,76,M
2019,Jun,28,6,1,C,6,71,F
2019,Jun,28,6,1,C,7,67,F
2019,Jun,28,6,1,C,8,78,M
2019,Jun,28,6,1,C,9,69,F
2019,Jun,28,6,1,C,10,74,F
2019,Jun,28,6,2,D,1,23,V
2019,Jun,28,6,2,D,2,11,V
2019,Jun,28,6,2,D,3,11,V
2019,Jun,28,6,2,D,4,9,V
2019,Jun,28,6,2,D,5,10,V
2019,Jun,28,6,2,D,6,26,V
2019,Jun,28,6,2,D,7,23,V
2019,Jun,28,6,2,D,8,8,V
2019,Jun,28,6,2,D,9,,
2019,Jun,28,6,2,D,10,,
2019,Jun,28,6,3,C,1,60,V
2019,Jun,28,6,3,C,2,20,V
2019,Jun,28,6,3,C,3,18,V
2019,Jun,28,6,3,C,4,20,V
2019,Jun,28,6,3,C,5,25,V
2019,Jun,28,6,3,C,6,29,V
2019,Jun,28,6,3,C,7,18,V
2019,Jun,28,6,3,C,8,26,V
2019,Jun,28,6,3,C,9,23,V
2019,Jun,28,6,3,C,10,31,V
2019,Jun,28,6,4,A,1,54,V
2019,Jun,28,6,4,A,2,46,V
2019,Jun,28,6,4,A,3,32,V
2019,Jun,28,6,4,A,4,42,V
2019,Jun,28,6,4,A,5,47,V
2019,Jun,28,6,4,A,6,59,V
2019,Jun,28,6,4,A,7,37,V
2019,Jun,28,6,4,A,8,57,V
2019,Jun,28,6,4,A,9,38,V
2019,Jun,28,6,4,A,10,45,V
2019,Jun,28,6,5,C,1,85,M
2019,Jun,28,6,5,C,2,46,V
2019,Jun,28,6,5,C,3,80,M
2019,Jun,28,6,5,C,4,35,V
2019,Jun,28,6,5,C,5,84,M
2019,Jun,28,6,5,C,6,107,M
2019,Jun,28,6,5,C,7,79,M
2019,Jun,28,6,5,C,8,56,F
2019,Jun,28,6,5,C,9,59,V
2019,Jun,28,6,5,C,10,69,M
2019,Jun,27,7,3,B,1,108,M
2019,Jun,27,7,3,B,2,70,F
2019,Jun,27,7,3,B,3,93,M
2019,Jun,27,7,3,B,4,69,F
2019,Jun,27,7,3,B,5,62,F
2019,Jun,27,7,3,B,6,85,M
2019,Jun,27,7,3,B,7,63,V
2019,Jun,27,7,3,B,8,38,M
2019,Jun,27,7,3,B,9,62,V
2019,Jun,27,7,3,B,10,99,M
2019,Jun,27,7,3,C,1,10,V
2019,Jun,27,7,3,C,2,18,V
2019,Jun,27,7,3,C,3,17,V
2019,Jun,27,7,3,C,4,17,V
2019,Jun,27,7,3,C,5,9,V
2019,Jun,27,7,3,C,6,10,V
2019,Jun,27,7,3,C,7,,
2019,Jun,27,7,3,C,8,,
2019,Jun,27,7,3,C,9,,
2019,Jun,27,7,3,C,10,,
2019,Jun,27,7,3,D,1,30,V
2019,Jun,27,7,3,D,2,51,V
2019,Jun,27,7,3,D,3,46,V
2019,Jun,27,7,3,D,4,47,V
2019,Jun,27,7,3,D,5,47,V
2019,Jun,27,7,3,D,6,49,V
2019,Jun,27,7,3,D,7,31,V
2019,Jun,27,7,3,D,8,36,V
2019,Jun,27,7,3,D,9,34,V
2019,Jun,27,7,3,D,10,21,V
2019,Jun,27,7,4,A,1,18,V
2019,Jun,27,7,4,A,2,22,V
2019,Jun,27,7,4,A,3,8,V
2019,Jun,27,7,4,A,4,17,V
2019,Jun,27,7,4,A,5,18,V
2019,Jun,27,7,4,A,6,13,V
2019,Jun,27,7,4,A,7,,
2019,Jun,27,7,4,A,8,,
2019,Jun,27,7,4,A,9,,
2019,Jun,27,7,4,A,10,,
2019,Jun,27,7,4,D,1,18,V
2019,Jun,27,7,4,D,2,20,V
